event_id,user_id,event_time,session_id,page_views
1,10001,2024-01-01 00:01:00,90001,5
2,10002,2024-01-01 00:02:00,90002,10
3,10003,2024-01-01 00:03:00,90003,17
4,10004,2024-01-01 00:04:00,90004,6
5,10005,2024-01-01 00:05:00,90005,15
6,10006,2024-01-01 00:06:00,90006,10
7,10007,2024-01-01 00:07:00,90007,13
8,10008,2024-01-01 00:08:00,90008,7
9,10009,2024-01-01 00:09:00,90009,11
10,10010,2024-01-01 00:10:00,90010,5
11,10011,2024-01-01 00:11:00,90011,8
12,10012,2024-01-01 00:12:00,90012,11
13,10013,2024-01-01 00:13:00,90013,14
14,10014,2024-01-01 00:14:00,90014,3
15,10015,2024-01-01 00:15:00,90015,4
16,10016,2024-01-01 00:16:00,90016,18
17,10017,2024-01-01 00:17:00,90017,17
18,10018,2024-01-01 00:18:00,90018,5
19,10019,2024-01-01 00:19:00,90019,1
20,10020,2024-01-01 00:20:00,90020,8
21,10021,2024-01-01 00:21:00,90021,18
22,10022,2024-01-01 00:22:00,90022,1
23,10023,2024-01-01 00:23:00,90023,14
24,10024,2024-01-01 00:24:00,90024,19
25,10025,2024-01-01 00:25:00,90025,11
26,10026,2024-01-01 00:26:00,90026,17
27,10027,2024-01-01 00:27:00,90027,14
28,10028,2024-01-01 00:28:00,90028,5
29,10029,2024-01-01 00:29:00,90029,3
30,10030,2024-01-01 00:30:00,90030,18
31,10031,2024-01-01 00:31:00,90031,11
32,10032,2024-01-01 00:32:00,90032,7
33,10033,2024-01-01 00:33:00,90033,3
34,10034,2024-01-01 00:34:00,90034,4
35,10035,2024-01-01 00:35:00,90035,4
36,10036,2024-01-01 00:36:00,90036,6
37,10037,2024-01-01 00:37:00,90037,17
38,10038,2024-01-01 00:38:00,90038,3
39,10039,2024-01-01 00:39:00,90039,15
40,10040,2024-01-01 00:40:00,90040,16
41,10041,2024-01-01 00:41:00,90041,20
42,10042,2024-01-01 00:42:00,90042,1
43,10043,2024-01-01 00:43:00,90043,7
44,10044,2024-01-01 00:44:00,90044,13
45,10045,2024-01-01 00:45:00,90045,14
46,10046,2024-01-01 00:46:00,90046,13
47,10047,2024-01-01 00:47:00,90047,13
48,10048,2024-01-01 00:48:00,90048,8
49,10049,2024-01-01 00:49:00,90049,13
50,10050,2024-01-01 00:50:00,90050,20
51,10051,2024-01-01 00:51:00,90051,10
52,10052,2024-01-01 00:52:00,90052,16
53,10053,2024-01-01 00:53:00,90053,6
54,10054,2024-01-01 00:54:00,90054,17
55,10055,2024-01-01 00:55:00,90055,3
56,10056,2024-01-01 00:56:00,90056,8
57,10057,2024-01-01 00:57:00,90057,6
58,10058,2024-01-01 00:58:00,90058,14
59,10059,2024-01-01 00:59:00,90059,11
60,10060,2024-01-01 01:00:00,90060,19
61,10061,2024-01-01 01:01:00,90061,17
62,10062,2024-01-01 01:02:00,90062,9
63,10063,2024-01-01 01:03:00,90063,11
64,10064,2024-01-01 01:04:00,90064,1
65,10065,2024-01-01 01:05:00,90065,7
66,10066,2024-01-01 01:06:00,90066,7
67,10067,2024-01-01 01:07:00,90067,16
68,10068,2024-01-01 01:08:00,90068,20
69,10069,2024-01-01 01:09:00,90069,2
70,10070,2024-01-01 01:10:00,90070,6
71,10071,2024-01-01 01:11:00,90071,20
72,10072,2024-01-01 01:12:00,90072,9
73,10073,2024-01-01 01:13:00,90073,1
74,10074,2024-01-01 01:14:00,90074,8
75,10075,2024-01-01 01:15:00,90075,16
76,10076,2024-01-01 01:16:00,90076,12
77,10077,2024-01-01 01:17:00,90077,7
78,10078,2024-01-01 01:18:00,90078,12
79,10079,2024-01-01 01:19:00,90079,7
80,10080,2024-01-01 01:20:00,90080,4
81,10081,2024-01-01 01:21:00,90081,7
82,10082,2024-01-01 01:22:00,90082,5
83,10083,2024-01-01 01:23:00,90083,9
84,10084,2024-01-01 01:24:00,90084,11
85,10085,2024-01-01 01:25:00,90085,5
86,10086,2024-01-01 01:26:00,90086,15
87,10087,2024-01-01 01:27:00,90087,11
88,10088,2024-01-01 01:28:00,90088,14
89,10089,2024-01-01 01:29:00,90089,15
90,10090,2024-01-01 01:30:00,90090,4
91,10091,2024-01-01 01:31:00,90091,19
92,10092,2024-01-01 01:32:00,90092,11
93,10093,2024-01-01 01:33:00,90093,2
94,10094,2024-01-01 01:34:00,90094,8
95,10095,2024-01-01 01:35:00,90095,2
96,10096,2024-01-01 01:36:00,90096,12
97,10097,2024-01-01 01:37:00,90097,13
98,10098,2024-01-01 01:38:00,90098,17
99,10099,2024-01-01 01:39:00,90099,15
100,10100,2024-01-01 01:40:00,90100,18
101,10101,2024-01-01 01:41:00,90101,2
102,10102,2024-01-01 01:42:00,90102,15
103,10103,2024-01-01 01:43:00,90103,3
104,10104,2024-01-01 01:44:00,90104,5
105,10105,2024-01-01 01:45:00,90105,13
106,10106,2024-01-01 01:46:00,90106,11
107,10107,2024-01-01 01:47:00,90107,5
108,10108,2024-01-01 01:48:00,90108,10
109,10109,2024-01-01 01:49:00,90109,20
110,10110,2024-01-01 01:50:00,90110,10
111,10111,2024-01-01 01:51:00,90111,18
112,10112,2024-01-01 01:52:00,90112,20
113,10113,2024-01-01 01:53:00,90113,3
114,10114,2024-01-01 01:54:00,90114,17
115,10115,2024-01-01 01:55:00,90115,12
116,10116,2024-01-01 01:56:00,90116,6
117,10117,2024-01-01 01:57:00,90117,20
118,10118,2024-01-01 01:58:00,90118,17
119,10119,2024-01-01 01:59:00,90119,8
120,10120,2024-01-01 02:00:00,90120,17
121,10121,2024-01-01 02:01:00,90121,17
122,10122,2024-01-01 02:02:00,90122,6
123,10123,2024-01-01 02:03:00,90123,1
124,10124,2024-01-01 02:04:00,90124,3
125,10125,2024-01-01 02:05:00,90125,11
126,10126,2024-01-01 02:06:00,90126,4
127,10127,2024-01-01 02:07:00,90127,9
128,10128,2024-01-01 02:08:00,90128,19
129,10129,2024-01-01 02:09:00,90129,15
130,10130,2024-01-01 02:10:00,90130,15
131,10131,2024-01-01 02:11:00,90131,16
132,10132,2024-01-01 02:12:00,90132,14
133,10133,2024-01-01 02:13:00,90133,9
134,10134,2024-01-01 02:14:00,90134,19
135,10135,2024-01-01 02:15:00,90135,3
136,10136,2024-01-01 02:16:00,90136,8
137,10137,2024-01-01 02:17:00,90137,13
138,10138,2024-01-01 02:18:00,90138,3
139,10139,2024-01-01 02:19:00,90139,14
140,10140,2024-01-01 02:20:00,90140,12
141,10141,2024-01-01 02:21:00,90141,15
142,10142,2024-01-01 02:22:00,90142,14
143,10143,2024-01-01 02:23:00,90143,12
144,10144,2024-01-01 02:24:00,90144,5
145,10145,2024-01-01 02:25:00,90145,17
146,10146,2024-01-01 02:26:00,90146,6
147,10147,2024-01-01 02:27:00,90147,5
148,10148,2024-01-01 02:28:00,90148,13
149,10149,2024-01-01 02:29:00,90149,4
150,10150,2024-01-01 02:30:00,90150,19
151,10151,2024-01-01 02:31:00,90151,11
152,10152,2024-01-01 02:32:00,90152,9
153,10153,2024-01-01 02:33:00,90153,19
154,10154,2024-01-01 02:34:00,90154,1
155,10155,2024-01-01 02:35:00,90155,5
156,10156,2024-01-01 02:36:00,90156,19
157,10157,2024-01-01 02:37:00,90157,10
158,10158,2024-01-01 02:38:00,90158,18
159,10159,2024-01-01 02:39:00,90159,9
160,10160,2024-01-01 02:40:00,90160,19
161,10161,2024-01-01 02:41:00,90161,10
162,10162,2024-01-01 02:42:00,90162,7
163,10163,2024-01-01 02:43:00,90163,9
164,10164,2024-01-01 02:44:00,90164,11
165,10165,2024-01-01 02:45:00,90165,15
166,10166,2024-01-01 02:46:00,90166,16
167,10167,2024-01-01 02:47:00,90167,14
168,10168,2024-01-01 02:48:00,90168,13
169,10169,2024-01-01 02:49:00,90169,3
170,10170,2024-01-01 02:50:00,90170,8
171,10171,2024-01-01 02:51:00,90171,18
172,10172,2024-01-01 02:52:00,90172,18
173,10173,2024-01-01 02:53:00,90173,14
174,10174,2024-01-01 02:54:00,90174,11
175,10175,2024-01-01 02:55:00,90175,11
176,10176,2024-01-01 02:56:00,90176,1
177,10177,2024-01-01 02:57:00,90177,2
178,10178,2024-01-01 02:58:00,90178,19
179,10179,2024-01-01 02:59:00,90179,3
180,10180,2024-01-01 03:00:00,90180,12
181,10181,2024-01-01 03:01:00,90181,20
182,10182,2024-01-01 03:02:00,90182,12
183,10183,2024-01-01 03:03:00,90183,13
184,10184,2024-01-01 03:04:00,90184,15
185,10185,2024-01-01 03:05:00,90185,17
186,10186,2024-01-01 03:06:00,90186,7
187,10187,2024-01-01 03:07:00,90187,5
188,10188,2024-01-01 03:08:00,90188,7
189,10189,2024-01-01 03:09:00,90189,19
190,10190,2024-01-01 03:10:00,90190,12
191,10191,2024-01-01 03:11:00,90191,19
192,10192,2024-01-01 03:12:00,90192,7
193,10193,2024-01-01 03:13:00,90193,13
194,10194,2024-01-01 03:14:00,90194,1
195,10195,2024-01-01 03:15:00,90195,4
196,10196,2024-01-01 03:16:00,90196,19
197,10197,2024-01-01 03:17:00,90197,10
198,10198,2024-01-01 03:18:00,90198,3
199,10199,2024-01-01 03:19:00,90199,5
200,10200,2024-01-01 03:20:00,90200,15
201,10201,2024-01-01 03:21:00,90201,1
202,10202,2024-01-01 03:22:00,90202,14
203,10203,2024-01-01 03:23:00,90203,13
204,10204,2024-01-01 03:24:00,90204,4
205,10205,2024-01-01 03:25:00,90205,18
206,10206,2024-01-01 03:26:00,90206,11
207,10207,2024-01-01 03:27:00,90207,8
208,10208,2024-01-01 03:28:00,90208,14
209,10209,2024-01-01 03:29:00,90209,2
210,10210,2024-01-01 03:30:00,90210,17
211,10211,2024-01-01 03:31:00,90211,16
212,10212,2024-01-01 03:32:00,90212,18
213,10213,2024-01-01 03:33:00,90213,2
214,10214,2024-01-01 03:34:00,90214,15
215,10215,2024-01-01 03:35:00,90215,5
216,10216,2024-01-01 03:36:00,90216,1
217,10217,2024-01-01 03:37:00,90217,5
218,10218,2024-01-01 03:38:00,90218,1
219,10219,2024-01-01 03:39:00,90219,8
220,10220,2024-01-01 03:40:00,90220,7
221,10221,2024-01-01 03:41:00,90221,18
222,10222,2024-01-01 03:42:00,90222,18
223,10223,2024-01-01 03:43:00,90223,4
224,10224,2024-01-01 03:44:00,90224,3
225,10225,2024-01-01 03:45:00,90225,6
226,10226,2024-01-01 03:46:00,90226,1
227,10227,2024-01-01 03:47:00,90227,19
228,10228,2024-01-01 03:48:00,90228,20
229,10229,2024-01-01 03:49:00,90229,14
230,10230,2024-01-01 03:50:00,90230,13
231,10231,2024-01-01 03:51:00,90231,16
232,10232,2024-01-01 03:52:00,90232,14
233,10233,2024-01-01 03:53:00,90233,8
234,10234,2024-01-01 03:54:00,90234,15
235,10235,2024-01-01 03:55:00,90235,6
236,10236,2024-01-01 03:56:00,90236,1
237,10237,2024-01-01 03:57:00,90237,7
238,10238,2024-01-01 03:58:00,90238,15
239,10239,2024-01-01 03:59:00,90239,8
240,10240,2024-01-01 04:00:00,90240,10
241,10241,2024-01-01 04:01:00,90241,9
242,10242,2024-01-01 04:02:00,90242,17
243,10243,2024-01-01 04:03:00,90243,8
244,10244,2024-01-01 04:04:00,90244,13
245,10245,2024-01-01 04:05:00,90245,12
246,10246,2024-01-01 04:06:00,90246,14
247,10247,2024-01-01 04:07:00,90247,16
248,10248,2024-01-01 04:08:00,90248,1
249,10249,2024-01-01 04:09:00,90249,15
250,10250,2024-01-01 04:10:00,90250,4
251,10251,2024-01-01 04:11:00,90251,19
252,10252,2024-01-01 04:12:00,90252,1
253,10253,2024-01-01 04:13:00,90253,12
254,10254,2024-01-01 04:14:00,90254,13
255,10255,2024-01-01 04:15:00,90255,11
256,10256,2024-01-01 04:16:00,90256,16
257,10257,2024-01-01 04:17:00,90257,10
258,10258,2024-01-01 04:18:00,90258,7
259,10259,2024-01-01 04:19:00,90259,19
260,10260,2024-01-01 04:20:00,90260,14
261,10261,2024-01-01 04:21:00,90261,16
262,10262,2024-01-01 04:22:00,90262,16
263,10263,2024-01-01 04:23:00,90263,2
264,10264,2024-01-01 04:24:00,90264,11
265,10265,2024-01-01 04:25:00,90265,9
266,10266,2024-01-01 04:26:00,90266,13
267,10267,2024-01-01 04:27:00,90267,15
268,10268,2024-01-01 04:28:00,90268,7
269,10269,2024-01-01 04:29:00,90269,20
270,10270,2024-01-01 04:30:00,90270,8
271,10271,2024-01-01 04:31:00,90271,3
272,10272,2024-01-01 04:32:00,90272,13
273,10273,2024-01-01 04:33:00,90273,9
274,10274,2024-01-01 04:34:00,90274,20
275,10275,2024-01-01 04:35:00,90275,1
276,10276,2024-01-01 04:36:00,90276,19
277,10277,2024-01-01 04:37:00,90277,11
278,10278,2024-01-01 04:38:00,90278,9
279,10279,2024-01-01 04:39:00,90279,14
280,10280,2024-01-01 04:40:00,90280,18
281,10281,2024-01-01 04:41:00,90281,18
282,10282,2024-01-01 04:42:00,90282,16
283,10283,2024-01-01 04:43:00,90283,8
284,10284,2024-01-01 04:44:00,90284,2
285,10285,2024-01-01 04:45:00,90285,12
286,10286,2024-01-01 04:46:00,90286,17
287,10287,2024-01-01 04:47:00,90287,17
288,10288,2024-01-01 04:48:00,90288,14
289,10289,2024-01-01 04:49:00,90289,18
290,10290,2024-01-01 04:50:00,90290,4
291,10291,2024-01-01 04:51:00,90291,2
292,10292,2024-01-01 04:52:00,90292,6
293,10293,2024-01-01 04:53:00,90293,11
294,10294,2024-01-01 04:54:00,90294,7
295,10295,2024-01-01 04:55:00,90295,4
296,10296,2024-01-01 04:56:00,90296,5
297,10297,2024-01-01 04:57:00,90297,19
298,10298,2024-01-01 04:58:00,90298,6
299,10299,2024-01-01 04:59:00,90299,14
300,10300,2024-01-01 05:00:00,90300,14
301,10301,2024-01-01 05:01:00,90301,5
302,10302,2024-01-01 05:02:00,90302,11
303,10303,2024-01-01 05:03:00,90303,9
304,10304,2024-01-01 05:04:00,90304,16
305,10305,2024-01-01 05:05:00,90305,17
306,10306,2024-01-01 05:06:00,90306,2
307,10307,2024-01-01 05:07:00,90307,2
308,10308,2024-01-01 05:08:00,90308,19
309,10309,2024-01-01 05:09:00,90309,11
310,10310,2024-01-01 05:10:00,90310,17
311,10311,2024-01-01 05:11:00,90311,2
312,10312,2024-01-01 05:12:00,90312,10
313,10313,2024-01-01 05:13:00,90313,1
314,10314,2024-01-01 05:14:00,90314,3
315,10315,2024-01-01 05:15:00,90315,10
316,10316,2024-01-01 05:16:00,90316,13
317,10317,2024-01-01 05:17:00,90317,4
318,10318,2024-01-01 05:18:00,90318,11
319,10319,2024-01-01 05:19:00,90319,20
320,10320,2024-01-01 05:20:00,90320,15
321,10321,2024-01-01 05:21:00,90321,1
322,10322,2024-01-01 05:22:00,90322,2
323,10323,2024-01-01 05:23:00,90323,1
324,10324,2024-01-01 05:24:00,90324,3
325,10325,2024-01-01 05:25:00,90325,19
326,10326,2024-01-01 05:26:00,90326,2
327,10327,2024-01-01 05:27:00,90327,2
328,10328,2024-01-01 05:28:00,90328,15
329,10329,2024-01-01 05:29:00,90329,7
330,10330,2024-01-01 05:30:00,90330,17
331,10331,2024-01-01 05:31:00,90331,17
332,10332,2024-01-01 05:32:00,90332,11
333,10333,2024-01-01 05:33:00,90333,9
334,10334,2024-01-01 05:34:00,90334,13
335,10335,2024-01-01 05:35:00,90335,15
336,10336,2024-01-01 05:36:00,90336,8
337,10337,2024-01-01 05:37:00,90337,10
338,10338,2024-01-01 05:38:00,90338,16
339,10339,2024-01-01 05:39:00,90339,10
340,10340,2024-01-01 05:40:00,90340,8
341,10341,2024-01-01 05:41:00,90341,13
342,10342,2024-01-01 05:42:00,90342,19
343,10343,2024-01-01 05:43:00,90343,8
344,10344,2024-01-01 05:44:00,90344,19
345,10345,2024-01-01 05:45:00,90345,2
346,10346,2024-01-01 05:46:00,90346,18
347,10347,2024-01-01 05:47:00,90347,20
348,10348,2024-01-01 05:48:00,90348,9
349,10349,2024-01-01 05:49:00,90349,4
350,10350,2024-01-01 05:50:00,90350,7
351,10351,2024-01-01 05:51:00,90351,4
352,10352,2024-01-01 05:52:00,90352,19
353,10353,2024-01-01 05:53:00,90353,17
354,10354,2024-01-01 05:54:00,90354,11
355,10355,2024-01-01 05:55:00,90355,19
356,10356,2024-01-01 05:56:00,90356,13
357,10357,2024-01-01 05:57:00,90357,16
358,10358,2024-01-01 05:58:00,90358,3
359,10359,2024-01-01 05:59:00,90359,17
360,10360,2024-01-01 06:00:00,90360,8
361,10361,2024-01-01 06:01:00,90361,5
362,10362,2024-01-01 06:02:00,90362,4
363,10363,2024-01-01 06:03:00,90363,7
364,10364,2024-01-01 06:04:00,90364,1
365,10365,2024-01-01 06:05:00,90365,12
366,10366,2024-01-01 06:06:00,90366,10
367,10367,2024-01-01 06:07:00,90367,5
