sale_id,region,category,payment_method,amount
1,North,Electronics,cash,144.76
2,South,Clothing,cash,60.22
3,North,Sports,credit_card,24.6
4,South,Clothing,cash,304.99
5,South,Sports,credit_card,230.11
6,East,Electronics,credit_card,352.09
7,East,Grocery,credit_card,115.5
8,East,Electronics,credit_card,196.16
9,East,Grocery,cash,139.62
10,North,Sports,cash,71.16
11,West,Electronics,cash,153.66
12,East,Clothing,cash,44.08
13,South,Grocery,credit_card,429.11
14,North,Sports,debit_card,232.17
15,East,Clothing,debit_card,184.08
16,East,Electronics,cash,321.14
17,South,Clothing,debit_card,195.93
18,South,Grocery,credit_card,122.23
19,North,Grocery,debit_card,141.19
20,South,Grocery,credit_card,331.16
21,West,Sports,credit_card,139.79
22,South,Grocery,cash,296.45
23,West,Grocery,credit_card,498.69
24,South,Sports,credit_card,380.33
25,North,Clothing,cash,88.39
26,West,Electronics,debit_card,196.99
27,West,Grocery,cash,431.78
28,North,Electronics,cash,443.55
29,East,Grocery,credit_card,153.82
30,South,Sports,credit_card,477.37
31,East,Clothing,cash,457.19
32,East,Clothing,credit_card,193.22
33,South,Electronics,cash,168.84
34,North,Electronics,debit_card,440.57
35,East,Clothing,credit_card,128.03
36,North,Electronics,cash,248.14
37,North,Clothing,credit_card,333.28
38,South,Grocery,cash,437.49
39,West,Clothing,cash,380.08
40,South,Grocery,debit_card,497.62
41,East,Sports,cash,231.23
42,South,Clothing,credit_card,175.66
43,South,Clothing,credit_card,44.79
44,North,Clothing,credit_card,453.66
45,East,Electronics,cash,126.62
46,West,Clothing,cash,74.83
47,West,Clothing,debit_card,405.67
48,South,Electronics,credit_card,332.9
49,East,Sports,debit_card,238.84
50,North,Electronics,credit_card,207.28
51,East,Electronics,credit_card,103.88
52,West,Clothing,debit_card,99.91
53,West,Clothing,credit_card,227.13
54,North,Electronics,cash,499.65
55,North,Electronics,credit_card,91.49
56,West,Sports,credit_card,433.68
57,North,Clothing,debit_card,11.06
58,West,Grocery,debit_card,149.77
59,West,Clothing,credit_card,155.39
60,North,Electronics,cash,163.67
61,North,Sports,cash,460.5
62,South,Electronics,cash,49.25
63,South,Electronics,cash,43.3
64,South,Sports,credit_card,471.38
65,South,Electronics,cash,50.17
66,East,Grocery,credit_card,338.17
67,East,Clothing,debit_card,203.94
68,East,Sports,debit_card,465.22
69,North,Electronics,debit_card,314.37
70,North,Electronics,cash,114.45
71,East,Clothing,debit_card,441.62
72,South,Grocery,debit_card,87.3
73,East,Electronics,cash,410.38
74,East,Electronics,credit_card,139.59
75,North,Clothing,debit_card,148.06
76,South,Grocery,credit_card,346.87
77,East,Sports,debit_card,453.61
78,North,Electronics,cash,217.55
79,East,Electronics,credit_card,173.44
80,South,Grocery,credit_card,373.2
81,West,Electronics,credit_card,46.87
82,South,Electronics,debit_card,295.43
83,South,Sports,credit_card,30.5
84,East,Electronics,debit_card,112.94
85,South,Electronics,debit_card,392.26
86,West,Clothing,credit_card,433.66
87,South,Sports,credit_card,97.89
88,East,Sports,cash,433.39
89,South,Grocery,credit_card,395.81
90,North,Sports,credit_card,430.71
91,South,Clothing,debit_card,181.33
92,South,Clothing,credit_card,333.42
93,West,Grocery,debit_card,433.53
94,East,Grocery,cash,259.61
95,East,Electronics,credit_card,439.75
96,East,Clothing,cash,481.64
97,East,Electronics,credit_card,302.32
98,East,Grocery,debit_card,307.04
99,North,Sports,cash,103.14
100,North,Sports,credit_card,264.76
101,South,Grocery,debit_card,44.29
102,East,Grocery,cash,425.53
103,East,Grocery,cash,210.11
104,West,Grocery,cash,72.37
105,West,Sports,cash,376.59
106,South,Grocery,debit_card,278.49
107,North,Grocery,debit_card,112.99
108,East,Sports,debit_card,226.66
109,South,Sports,cash,93.15
110,North,Grocery,cash,335.29
111,East,Electronics,credit_card,339.67
112,South,Clothing,credit_card,21.97
113,South,Sports,cash,426.37
114,North,Sports,debit_card,444.21
115,South,Sports,debit_card,205.83
116,South,Electronics,credit_card,391.43
117,South,Clothing,cash,263.8
118,North,Clothing,credit_card,233.67
119,West,Grocery,debit_card,310.2
120,West,Sports,credit_card,374.39
121,West,Sports,debit_card,378.37
122,East,Sports,cash,127.23
123,West,Electronics,cash,150.01
124,East,Grocery,debit_card,447.58
125,North,Clothing,credit_card,123.32
126,South,Clothing,credit_card,213.29
127,East,Sports,debit_card,40.51
128,West,Sports,cash,473.57
129,North,Sports,debit_card,12.89
130,East,Grocery,debit_card,428.19
131,West,Clothing,debit_card,117.52
132,West,Sports,credit_card,200.54
133,West,Clothing,debit_card,460.58
134,North,Sports,cash,286.55
135,North,Electronics,cash,220.02
136,West,Clothing,credit_card,137.48
137,East,Clothing,debit_card,170.15
138,West,Grocery,debit_card,133.61
139,North,Sports,credit_card,377.02
140,North,Grocery,credit_card,328.57
141,North,Electronics,credit_card,107.69
142,North,Clothing,credit_card,71.85
143,North,Clothing,debit_card,352.74
144,East,Clothing,cash,307.55
145,North,Clothing,debit_card,62.97
146,North,Grocery,cash,341.9
147,West,Sports,cash,107.18
148,South,Electronics,cash,388.52
149,North,Electronics,debit_card,271.05
150,East,Electronics,cash,327.3
151,North,Sports,debit_card,61.71
152,East,Sports,cash,84.97
153,South,Grocery,cash,406.02
154,West,Sports,debit_card,414.61
155,East,Grocery,credit_card,417.06
156,North,Grocery,debit_card,129.49
157,West,Sports,debit_card,24.06
158,East,Clothing,debit_card,113.94
159,East,Grocery,debit_card,441.36
160,East,Electronics,cash,474.55
161,North,Clothing,cash,209.15
162,South,Sports,cash,358.8
163,West,Electronics,credit_card,154.18
164,West,Clothing,debit_card,335.34
165,East,Sports,cash,270.15
166,West,Grocery,debit_card,354.4
167,East,Grocery,debit_card,122.96
168,South,Grocery,credit_card,374.01
169,South,Clothing,credit_card,371.92
170,East,Grocery,credit_card,417.99
171,East,Clothing,debit_card,97.93
172,North,Clothing,debit_card,32.3
173,North,Grocery,cash,472.6
174,West,Electronics,credit_card,291.29
175,West,Sports,debit_card,176.95
176,North,Grocery,debit_card,65.9
177,North,Sports,debit_card,46.3
178,North,Clothing,credit_card,407.46
179,East,Electronics,credit_card,68.04
180,West,Clothing,cash,196.39
181,West,Grocery,cash,495.12
182,East,Electronics,cash,480.45
183,North,Clothing,cash,113.4
184,North,Clothing,credit_card,95.17
185,North,Clothing,credit_card,210.17
186,West,Grocery,credit_card,123.42
187,East,Sports,credit_card,346.82
188,East,Clothing,debit_card,66.24
189,South,Clothing,debit_card,415.05
190,North,Electronics,credit_card,398.39
191,East,Sports,credit_card,239.66
192,East,Sports,debit_card,255.23
193,West,Sports,credit_card,303.04
194,West,Grocery,cash,132.68
195,North,Clothing,cash,419.62
196,North,Grocery,cash,29.71
197,South,Sports,cash,329.24
198,East,Clothing,cash,223.58
199,West,Electronics,debit_card,180.5
200,East,Grocery,cash,61.25
201,South,Grocery,debit_card,349.9
202,East,Sports,cash,27.98
203,North,Grocery,debit_card,168.4
204,West,Electronics,cash,435.99
205,West,Sports,credit_card,101.92
206,East,Sports,cash,226.6
207,North,Clothing,debit_card,279.12
208,East,Sports,cash,247.51
209,North,Clothing,cash,87.61
210,North,Sports,credit_card,120.1
211,North,Sports,credit_card,327.38
212,South,Sports,cash,153.01
213,East,Sports,debit_card,490.32
214,South,Sports,cash,80.87
215,South,Clothing,credit_card,145.36
216,West,Grocery,cash,140.91
217,North,Grocery,cash,156.29
218,West,Clothing,debit_card,273.9
219,East,Grocery,cash,383.81
220,West,Sports,debit_card,436.1
221,South,Sports,credit_card,429.45
222,West,Electronics,debit_card,374.91
223,West,Sports,cash,398.27
224,South,Sports,credit_card,71.86
225,East,Electronics,debit_card,58.86
226,West,Electronics,cash,80.64
227,South,Electronics,debit_card,392.95
228,East,Grocery,cash,349.43
229,North,Grocery,cash,431.08
230,West,Grocery,cash,362.17
231,West,Electronics,cash,43.53
232,East,Clothing,cash,54.29
233,North,Electronics,debit_card,91.52
234,East,Electronics,credit_card,168.94
235,North,Grocery,debit_card,193.67
236,South,Clothing,cash,211.91
237,South,Clothing,credit_card,48.69
238,West,Clothing,debit_card,457.29
239,South,Clothing,debit_card,322.57
240,West,Grocery,cash,14.6
241,West,Grocery,cash,277.83
242,North,Sports,debit_card,493.95
243,East,Sports,cash,132.55
244,East,Clothing,debit_card,428.13
245,North,Clothing,debit_card,290.24
246,East,Grocery,credit_card,489.19
247,West,Grocery,credit_card,287.31
248,North,Sports,debit_card,390.11
249,South,Grocery,credit_card,321.94
250,East,Clothing,cash,57.61
251,North,Grocery,debit_card,26.35
252,East,Clothing,credit_card,455.72
253,East,Sports,credit_card,108.39
254,East,Grocery,credit_card,135.92
255,West,Grocery,cash,436.49
256,North,Sports,credit_card,78.97
257,South,Sports,cash,189.23
258,West,Electronics,debit_card,272.92
259,West,Grocery,cash,377.02
260,East,Sports,cash,470.74
261,North,Clothing,debit_card,22.26
262,East,Clothing,cash,40.98
263,West,Grocery,cash,210.06
264,South,Electronics,credit_card,159.14
265,West,Electronics,credit_card,125.05
266,South,Sports,debit_card,191.8
267,West,Clothing,debit_card,330.91
268,West,Sports,debit_card,26.03
269,East,Clothing,debit_card,227.9
270,South,Grocery,credit_card,490.65
271,East,Grocery,credit_card,205.09
272,South,Electronics,debit_card,54.92
273,South,Electronics,credit_card,395.53
274,South,Clothing,cash,110.55
275,South,Clothing,credit_card,170.99
276,South,Electronics,debit_card,430.62
277,South,Clothing,cash,132.82
278,South,Electronics,cash,434.56
279,South,Electronics,debit_card,397.09
280,South,Grocery,credit_card,95.38
281,North,Clothing,cash,216.27
282,North,Electronics,debit_card,229.65
283,East,Electronics,debit_card,256.88
284,North,Grocery,debit_card,325.24
285,North,Electronics,debit_card,425.18
286,West,Electronics,debit_card,359.08
287,West,Electronics,credit_card,167.83
288,South,Electronics,credit_card,144.76
289,East,Sports,cash,269.97
290,West,Sports,credit_card,398.62
291,North,Clothing,debit_card,231.26
292,South,Sports,debit_card,415.44
293,West,Sports,cash,56.59
294,West,Grocery,cash,134.9
295,South,Sports,credit_card,54.7
296,North,Electronics,debit_card,57.32
297,East,Clothing,cash,39.39
298,East,Electronics,debit_card,183.26
299,West,Electronics,debit_card,304.2
300,East,Electronics,cash,258.63
301,South,Sports,credit_card,425.16
302,East,Grocery,credit_card,383.68
303,South,Sports,cash,487.53
304,North,Grocery,credit_card,98.4
305,East,Grocery,debit_card,12.99
